authid,name,orcid
6508047023,Muthitacharoen A.,0000-0003-3891-5428
6508056009,Riyanto Y.,
6508058220,Unah I.,0000-0002-7510-5814
6508112755,Hicken A.,0000-0002-3995-953X
6508128427,Spectre G.,
6508131110,Marlow L.A.V.,
6508137521,Wehkamp K.,
6508146927,DeRue D.S.,
6508147725,Poelhekke L.,
6508152143,Coenders M.,
6508167439,Levy Yeyati E.,
6508177597,Tasso A.,
6508189028,Morning A.,
6508189888,Shlay A.B.,
6508208024,Mendelberg T.,0000-0002-4494-7541
6508220000,Wollebæk D.,0000-0003-1186-9230
6508229340,Galindo-Villardón P.,
6508229749,Fazal T.M.,0000-0003-3314-5815
6508243528,Sorens J.,
6508263157,Pop-Eleches G.,0000-0003-3570-6233
6508273756,Canache D.,
6508292099,Mantler J.,0000-0002-9735-8302
6508296287,Armantier O.,
6508301406,GALARIOTIS E.,
6508323655,Terum L.I.,
6508323678,Kokkranikal J.,0000-0003-0103-562X
6508329465,Gwiasda G.W.,
6508336173,Mehlkop G.,0000-0003-3095-6188
6508337114,Tadlock B.L.,
6508345773,Konrath S.H.,
6508363434,Ruhs M.,0000-0001-6376-2414
6508372984,Dechurch L.A.,
6508383476,Alparone F.R.,
6508384425,Elkins Z.,0000-0002-7932-773X
6508388329,De Brauw A.,0000-0002-5045-8939
6601913908,D'addario L.,
6601918332,Streb J.,
6601922513,Zwar N.,
6601924137,Sniderman P.M.,
6601955323,Reisenzein R.,0000-0002-6091-108X
6601956224,Gastil J.,
6601967769,Fiorito J.,
6601972298,Kittel B.,0000-0001-9799-8310
6601977069,Kühnen U.,
6601985595,Costelloe M.,
6601987187,Rakner L.,
6601991059,Botzler C.S.,
6601992604,Klandermans B.,
6601995406,Safdar S.,
6601999318,Jaenicke E.C.,
6602072466,Kuropatkin N.,0000-0003-2511-0946
6602074574,Warman D.M.,0000-0001-9939-9418
6602076925,Van Boven L.,
6602084370,Mauron N.,
6602086370,Arin K.P.,0000-0002-6991-2468
6602090638,Yashar B.M.,
6602097853,Zalavras C.,
6602104017,Crepaz M.M.L.,0000-0003-3062-3009
6602110388,Bernauer T.,
6602110438,Staggs S.T.,0000-0002-7020-7301
6602115689,Gohmann S.,
6602116185,Patt A.G.,
6602116782,Wernstedt K.,0000-0003-4448-4724
6602126251,Scholte J.A.,
6602126505,Rasinski K.A.,
6602129078,Wascher D.C.,
6602129678,Macquart J.P.,
6602146413,Hochschild J.,
6602149669,Pile J.,
6602150585,Vansteenkiste M.,0000-0001-6983-3607
6602151641,Durfee J.M.,
6602155183,Blazar P.,
6602156363,Bleakley A.,
6602165948,Pogarsky G.,
6602167774,Bucy E.P.,
6602178595,Diekhoff G.M.,
6602179916,Devine F.,
6602192383,Cabrales A.,
6602200141,Laibson D.,
6602208568,Rattenbury N.J.,0000-0001-5069-319X
6602213082,Ginis K.A.M.,
6602214882,Culpepper P.D.,0000-0001-6227-0813
6602224225,Nieuwbeerta P.,0000-0001-5134-3175
6602225515,Maertens M.,
