metric,candidate,comparator,change,authid,name,current_all_count,current_all_rank,current_all_position,current_us_count,current_us_rank,current_us_position,current_pool_count,current_pool_rank,current_pool_position,current_unclear,current_unreviewed,current_us_upper,full_all_count,full_all_rank,full_all_position,full_us_count,full_us_rank,full_us_position,full_pool_count,full_pool_rank,full_pool_position,full_unclear,full_unreviewed,full_us_upper,narrow_all_count,narrow_all_rank,narrow_all_position,narrow_us_count,narrow_us_rank,narrow_us_position,narrow_pool_count,narrow_pool_rank,narrow_pool_position,narrow_unclear,narrow_unreviewed,narrow_us_upper
us,full,current,leave,57203170141,Niels Bjørn Grund Petersen,15,3,3,0,84,98,0,98,98,1,0,1,15,3,4,0,496,496,0,101,101,1,0,1,15,3,4,0,492,492,0,101,101,1,0,1
us,full,current,leave,57226018577,Christopher Hoy,8,47,64,1,73,83,1,85,93,1,0,2,8,53,80,1,149,161,1,86,98,1,0,2,8,53,80,1,149,161,1,86,98,1,0,2
us,full,current,leave,57226745341,Li Shao,8,47,65,0,84,99,0,98,110,0,0,0,8,53,81,0,496,510,0,101,115,0,0,0,8,53,81,0,492,506,0,101,115,0,0,0
us,full,current,leave,57264879500,Senhu Wang,7,67,95,0,84,100,0,98,114,0,0,0,7,83,114,0,496,515,0,101,120,0,0,0,7,83,114,0,492,511,0,101,120,0,0,0
us,narrow,current,enter,7402685635,Carey J.,4,292,307,,,,,,,,,,4,340,368,3,68,82,,,,0,0,3,4,340,367,3,68,82,,,,0,0,3
us,narrow,current,enter,7406604498,Johnson M.K.,4,292,311,,,,,,,,,,4,340,372,4,53,66,,,,0,0,4,4,340,371,4,53,66,,,,0,0,4
us,narrow,current,enter,7801629573,Gollust S.E.,6,96,101,,,,4,47,54,,,,8,53,55,5,42,45,5,42,45,3,0,8,8,53,55,5,42,45,5,42,45,3,0,8
us,narrow,current,enter,8967284700,Barry C.L.,4,292,318,,,,2,69,82,,,,7,83,86,3,68,72,3,63,67,4,0,7,7,83,86,3,68,72,3,63,67,4,0,7
us,narrow,current,enter,16023197400,Wojcieszak M.,5,166,185,,,,4,47,57,,,,7,83,87,5,42,47,5,42,47,2,0,7,7,83,87,5,42,47,5,42,47,2,0,7
us,narrow,current,enter,16029149900,Niederdeppe J.,6,96,108,,,,5,40,46,,,,10,33,33,7,21,25,7,21,25,3,0,10,10,33,33,7,21,25,7,21,25,3,0,10
