authid,name,current_published_count,current_raw_frozen_byline_count,current_raw_harmonized_byline_count,count_difference_from_old_local_filter,count_difference_from_byline_enrichment,total_raw_minus_published
7003284799,Krosnick J.A.,2,2,2,0,0,0
7003302770,Hochwarter W.,1,1,1,0,0,0
7003307290,Spalart P.,1,1,1,0,0,0
7003326173,Giulietti M.,1,1,1,0,0,0
7003333225,Simonsen B.,1,1,1,0,0,0
7003366798,Heinisch R.,3,3,3,0,0,0
7003371440,Den Hartog D.N.,1,1,1,0,0,0
7003372292,Milner H.V.,2,2,2,0,0,0
7003385670,Breyer F.,1,1,1,0,0,0
7003407037,Besser A.,2,2,2,0,0,0
7003410839,Bertoldi F.,1,1,1,0,0,0
7003413872,Christ S.E.,0,1,1,1,0,1
7003417146,MacCoun R.,1,1,1,0,0,0
7003460100,Brossard D.,3,3,3,0,0,0
7003496076,Valentino B.,5,5,5,0,0,0
7003506186,Rupp D.E.,0,1,1,1,0,1
7003513848,Gerdtham U.G.,1,1,1,0,0,0
7003517824,Arimitsu K.,1,1,1,0,0,0
7003521957,Sagan S.D.,1,1,1,0,0,0
7003538220,Schaffner B.,3,3,3,0,0,0
7003554600,Stockdale M.S.,0,1,1,1,0,1
7003580846,Beyers J.,1,1,1,0,0,0
7003587400,Mion L.C.,1,1,1,0,0,0
7003589159,Aarons G.A.,1,1,1,0,0,0
7003600497,De Wit N.J.,1,1,1,0,0,0
7003607797,Kaushal N.,1,1,1,0,0,0
7003632659,Doepfner M.,0,1,1,1,0,1
7003643279,Resnick P.,1,1,1,0,0,0
7003643877,Dimitrova A.,2,2,2,0,0,0
7003646191,Stanger C.,0,1,1,1,0,1
7003652929,Watermann R.,2,2,2,0,0,0
7003671164,Barabas J.,4,4,4,0,0,0
7003678150,Freyd J.J.,1,1,1,0,0,0
7003685151,Yamamura E.,1,1,1,0,0,0
7003690058,Kuyper L.,1,1,1,0,0,0
7003714858,Arce M.,1,1,1,0,0,0
7003721543,Rosendahl K.E.,1,1,1,0,0,0
7003724351,Boysen S.T.,0,1,1,1,0,1
7003745815,Traugott M.W.,1,1,1,0,0,0
7003756862,Chibnall J.T.,1,1,1,0,0,0
7003762498,Weinfurt K.,1,1,1,0,0,0
7003766880,Brawley L.R.,0,1,1,1,0,1
7003772257,Thomas Hinz,7,7,7,0,0,0
7003782220,Borgida E.,1,1,1,0,0,0
7003784837,Guppy M.,1,1,1,0,0,0
7003787305,Gregg G. Van Ryzin,13,13,13,0,0,0
7003797313,Etaugh C.,1,1,1,0,0,0
7003818024,Lubbers M.,2,2,2,0,0,0
7003825972,Pescosolido B.A.,1,1,1,0,0,0
7003827326,Brannon L.A.,1,1,1,0,0,0
7003839193,Nayga R.M.,1,1,1,0,0,0
7003861385,Jäckle S.,2,2,2,0,0,0
7003873555,Stiggelbout A.M.,0,1,1,1,0,1
7003874308,Eggers A.C.,2,2,2,0,0,0
7003874491,Abramowitz A.I.,1,1,1,0,0,0
7003882091,Scheufele D.A.,2,2,2,0,0,0
7003884141,Winchell J.,1,1,1,0,0,0
7003914850,Corley E.A.,1,1,1,0,0,0
7003936520,Ditto P.H.,1,1,1,0,0,0
7003945061,Gelpi C.,2,2,2,0,0,0
7003958020,Bäck H.,5,5,5,0,0,0
7003959490,Martinsson P.,2,2,2,0,0,0
7003966474,Schuman H.,1,1,1,0,0,0
7003967315,Bastien F.,1,1,1,0,0,0
7003970320,Ruback R.B.,1,1,1,0,0,0
7003975651,Magnus D.,1,1,1,0,0,0
7003988632,Gimpel J.,1,1,1,0,0,0
7004023875,Pannell D.,1,1,1,0,0,0
7004041293,Kirchler E.,1,1,1,0,0,0
7004060240,Mares I.,2,2,2,0,0,0
7004079505,Taplin R.,2,2,2,0,0,0
7004084150,Burden B.C.,1,1,1,0,0,0
7004090491,Nap J.P.,1,1,1,0,0,0
7004100302,Reppucci N.D.,1,1,1,0,0,0
7004104670,Semyonov M.,2,2,2,0,0,0
7004119524,Christ O.,1,1,1,0,0,0
7004129422,Paetzold R.L.,1,1,1,0,0,0
7004130265,Yarnell A.,1,1,1,0,0,0
7004137983,Thøgersen J.,1,1,1,0,0,0
7004139075,Benbenishty R.,1,1,1,0,0,0
7004177717,Shiloh S.,0,1,1,1,0,1
7004216573,Dušek L.,1,1,1,0,0,0
7004219854,Frye T.,4,4,4,0,0,0
7004227037,Boehnke K.,1,1,1,0,0,0
7004231413,Burton V.S.,3,3,3,0,0,0
7004233941,Crossley T.F.,1,1,1,0,0,0
7004237075,Zárate M.,1,1,1,0,0,0
7004312288,Loewenstein G.,1,1,1,0,0,0
7004342527,Reiter D.,2,2,2,0,0,0
7004350365,Crescenzi M.J.C.,1,1,1,0,0,0
7004355543,Zeckhauser R.,1,1,1,0,0,0
7004375365,Liebig S.,2,2,2,0,0,0
7004381024,Voepel-Lewis T.,1,1,1,0,0,0
7004413378,Glasgow G.,1,1,1,0,0,0
7004417196,Albertson B.,2,2,2,0,0,0
7004422264,Wagener A.,1,1,1,0,0,0
7004426900,Bray S.R.,1,1,1,0,0,0
7004428990,Applegate B.K.,0,1,1,1,0,1
7004455603,Barreto M.A.,1,1,1,0,0,0
7004477846,Doucette W.R.,1,1,1,0,0,0
7004567506,Michelson M.R.,1,1,1,0,0,0
7004576327,Rudolph T.,1,1,1,0,0,0
7004591530,Isbell L.M.,1,1,1,0,0,0
7004595460,Maxfield M.,1,1,1,0,0,0
7004610426,Senn C.Y.,1,1,1,0,0,0
7004628711,Zhuang G.,1,1,1,0,0,0
7004635513,Samuelsson E.,1,1,1,0,0,0
7004648191,Cherry T.L.,2,2,2,0,0,0
7004652171,Jasso G.,4,4,4,0,0,0
7004655361,Yost B.A.,1,1,1,0,0,0
7004703788,Parkins J.R.,3,3,3,0,0,0
7004721990,Fischhoff B.,1,1,1,0,0,0
7004726565,Grunert K.G.,2,2,2,0,0,0
7004726961,van den Bos K.,1,1,1,0,0,0
7004755736,Doust J.,1,1,1,0,0,0
7004764268,Bruine De Bruin W.,1,1,1,0,0,0
7004785773,Sacchi S.,2,2,2,0,0,0
7004847974,Yzerbyt V.,1,1,1,0,0,0
7004852334,Kenney P.J.,1,1,1,0,0,0
7004879151,Pande R.,1,1,1,0,0,0
7004923302,Mizrahi S.,1,1,1,0,0,0
7004986597,Freed G.L.,1,1,1,0,0,0
7004988981,Wadden T.A.,0,1,1,1,0,1
7004994419,Seering W.P.,1,1,1,0,0,0
7005020709,Karlawish J.,2,2,2,0,0,0
7005033380,Joiner K.,1,1,1,0,0,0
7005034938,Schleich J.,1,1,1,0,0,0
7005039539,Samuels D.J.,2,2,2,0,0,0
7005118400,Harms P.,1,1,1,0,0,0
7005131557,Couper M.P.,1,2,2,1,0,1
7005167633,Kaufman G.,4,4,4,0,0,0
7005170023,Whiteley P.,1,1,1,0,0,0
7005183013,Grande D.,1,1,1,0,0,0
7005206047,Kass N.,1,1,1,0,0,0
7005228561,Pollack C.E.,1,1,1,0,0,0
