variant,comparator,scope,change,authid,name,new_count,old_count,new_rank,old_rank,new_display_position,old_display_position
original_query,current_raw,top100_with_cutoff_ties,entrant,26036187400,Lecheler S.,8,5,53,168,60,201
original_query,current_raw,top100_with_cutoff_ties,entrant,57188590875,Muradova L.,7,5,83,168,108,260
original_query,current_raw,top100_with_cutoff_ties,entrant,57190437914,Yang J.,14,2,5,997,9,1774
original_query,current_raw,top100_with_cutoff_ties,exit,6601956224,John Gastil,6,6,115,100,117,100
original_query,current_raw,top100_with_cutoff_ties,exit,6602533817,Jonas Tallberg,6,6,115,100,118,101
original_query,current_raw,top100_with_cutoff_ties,exit,6602698051,Giuliano Bonoli,6,6,115,100,119,102
original_query,current_raw,top100_with_cutoff_ties,exit,7006126634,André Blais,6,6,115,100,121,103
original_query,current_raw,top100_with_cutoff_ties,exit,7102332636,Oliver James,6,6,115,100,122,104
original_query,current_raw,top100_with_cutoff_ties,exit,8159413200,Tucker J.A.,6,6,115,100,123,106
original_query,current_raw,top100_with_cutoff_ties,exit,8223892400,Kam C.D.,6,6,115,100,124,107
original_query,current_raw,top100_with_cutoff_ties,exit,8532420500,Wauters B.,6,6,115,100,125,108
original_query,current_raw,top100_with_cutoff_ties,exit,8547908900,Geys B.,6,6,115,100,126,109
original_query,current_raw,top100_with_cutoff_ties,exit,12779778800,Hopkins D.J.,6,6,115,100,127,110
original_query,current_raw,top100_with_cutoff_ties,exit,14035294700,Dafoe A.,6,6,115,100,128,111
original_query,current_raw,top100_with_cutoff_ties,exit,16308652800,Christenson D.P.,5,6,195,100,216,113
original_query,current_raw,top100_with_cutoff_ties,exit,16744169900,Johns R.,6,6,115,100,130,114
original_query,current_raw,top100_with_cutoff_ties,exit,23986892700,Woessmann L.,6,6,115,100,131,115
original_query,current_raw,top100_with_cutoff_ties,exit,24554597700,Geoffrey P. R. Wallace,6,7,115,70,132,75
original_query,current_raw,top100_with_cutoff_ties,exit,25958739200,Socia K.M.,6,6,115,100,133,116
original_query,current_raw,top100_with_cutoff_ties,exit,35173613400,Robertson C.,6,6,115,100,136,117
original_query,current_raw,top100_with_cutoff_ties,exit,35233854900,Kaneko S.,6,6,115,100,137,118
original_query,current_raw,top100_with_cutoff_ties,exit,36469243000,Stout C.T.,6,6,115,100,139,120
original_query,current_raw,top100_with_cutoff_ties,exit,36473880700,Pardos-Prado S.,6,6,115,100,140,121
original_query,current_raw,top100_with_cutoff_ties,exit,36992463600,Tilcsik A.,6,6,115,100,142,122
original_query,current_raw,top100_with_cutoff_ties,exit,47062211000,Sauer C.,6,6,115,100,144,123
original_query,current_raw,top100_with_cutoff_ties,exit,53983153400,Powers R.M.,6,6,115,100,146,124
original_query,current_raw,top100_with_cutoff_ties,exit,54385071100,Grimmelikhuijsen S.G.,6,6,115,100,147,125
original_query,current_raw,top100_with_cutoff_ties,exit,54402038900,Willems J.,6,6,115,100,148,126
original_query,current_raw,top100_with_cutoff_ties,exit,54785521400,Utych S.M.,6,6,115,100,150,127
original_query,current_raw,top100_with_cutoff_ties,exit,54939771600,Ayoub P.M.,6,6,115,100,151,128
original_query,current_raw,top100_with_cutoff_ties,exit,55364149100,Newman B.J.,5,6,195,100,264,130
original_query,current_raw,top100_with_cutoff_ties,exit,55498802400,Werner A.,6,6,115,100,153,131
original_query,current_raw,top100_with_cutoff_ties,exit,55604227800,Porumbescu G.,6,6,115,100,154,132
original_query,current_raw,top100_with_cutoff_ties,exit,55735410100,Schlipphak B.,6,6,115,100,155,133
original_query,current_raw,top100_with_cutoff_ties,exit,55738296700,Huang H.,6,6,115,100,156,134
original_query,current_raw,top100_with_cutoff_ties,exit,55787363800,Liu B.,6,6,115,100,157,135
original_query,current_raw,top100_with_cutoff_ties,exit,55955809300,Petzold K.,6,6,115,100,159,136
original_query,current_raw,top100_with_cutoff_ties,exit,56056445200,Lim S.,6,6,115,100,160,137
original_query,current_raw,top100_with_cutoff_ties,exit,56168369200,Thau M.,6,6,115,100,162,138
original_query,current_raw,top100_with_cutoff_ties,exit,56256131200,Kantorowicz J.,6,6,115,100,163,140
original_query,current_raw,top100_with_cutoff_ties,exit,56281778100,Yeh Y.Y.,6,6,115,100,164,141
original_query,current_raw,top100_with_cutoff_ties,exit,56421548300,McDowell D.,6,6,115,100,165,143
original_query,current_raw,top100_with_cutoff_ties,exit,56432557600,Fossati F.,6,6,115,100,166,144
original_query,current_raw,top100_with_cutoff_ties,exit,56487997200,Wratil C.,6,6,115,100,167,145
original_query,current_raw,top100_with_cutoff_ties,exit,56523595800,Liu M.,6,6,115,100,168,146
original_query,current_raw,top100_with_cutoff_ties,exit,56554105500,Gummer T.,6,6,115,100,169,147
original_query,current_raw,top100_with_cutoff_ties,exit,56964283000,Anson I.G.,6,6,115,100,170,148
original_query,current_raw,top100_with_cutoff_ties,exit,57052662100,Höhne J.K.,6,6,115,100,171,149
original_query,current_raw,top100_with_cutoff_ties,exit,57059866500,George B.,6,6,115,100,172,150
original_query,current_raw,top100_with_cutoff_ties,exit,57188561529,Armaly M.T.,6,6,115,100,173,151
original_query,current_raw,top100_with_cutoff_ties,exit,57190216222,Igarashi A.,6,6,115,100,175,152
original_query,current_raw,top100_with_cutoff_ties,exit,57193236353,Fesenfeld L.P.,6,6,115,100,177,154
original_query,current_raw,top100_with_cutoff_ties,exit,57196403479,McDonald J.,6,6,115,100,178,155
original_query,current_raw,top100_with_cutoff_ties,exit,57200226249,Hailey C.A.,6,6,115,100,179,156
original_query,current_raw,top100_with_cutoff_ties,exit,57201432992,Williamson S.,6,6,115,100,180,157
original_query,current_raw,top100_with_cutoff_ties,exit,57202349863,Lindgren E.,6,6,115,100,181,158
original_query,current_raw,top100_with_cutoff_ties,exit,57203538647,Liu D.,6,6,115,100,182,159
original_query,current_raw,top100_with_cutoff_ties,exit,57203980082,Stone A.R.,6,6,115,100,183,160
original_query,current_raw,top100_with_cutoff_ties,exit,57205664253,Hart C.G.,6,6,115,100,185,161
original_query,current_raw,top100_with_cutoff_ties,exit,57211437829,Sievert M.,6,6,115,100,186,162
original_query,current_raw,top100_with_cutoff_ties,exit,57213579538,Malhotra N.,6,6,115,100,187,163
original_query,current_raw,top100_with_cutoff_ties,exit,57216736131,Myrick R.,6,6,115,100,188,164
original_query,current_raw,top100_with_cutoff_ties,exit,57217532548,Schwartz J.A.,6,6,115,100,189,165
original_query,current_raw,top100_with_cutoff_ties,exit,57218118345,Lee S.,6,6,115,100,190,166
original_query,current_raw,top100_with_cutoff_ties,exit,57219597903,Viskupič F.,6,6,115,100,192,167
narrower_query,current_published,exact_top100,entrant,6603030334,de Vreese C.,7,3,83,513,84,530
narrower_query,current_published,exact_top100,entrant,6603559510,Turgeon M.,8,5,53,166,53,171
narrower_query,current_published,exact_top100,entrant,7801629573,Gollust S.E.,8,6,53,96,55,101
narrower_query,current_published,exact_top100,entrant,8967284700,Barry C.L.,7,4,83,292,86,318
narrower_query,current_published,exact_top100,entrant,16023197400,Wojcieszak M.,7,5,83,166,87,185
narrower_query,current_published,exact_top100,entrant,16029149900,Niederdeppe J.,10,6,33,96,33,108
narrower_query,current_published,exact_top100,entrant,16066752900,Aharoni E.,7,6,83,96,88,109
narrower_query,current_published,exact_top100,entrant,16244346100,Caillier J.G.,7,4,83,292,89,333
narrower_query,current_published,exact_top100,entrant,25422239000,Pagliaro S.,10,2,33,984,34,1271
narrower_query,current_published,exact_top100,entrant,26036187400,Lecheler S.,8,5,53,166,60,197
