authid,name,n_articles,n_us_articles,n_us_explicit,n_us_inferred,n_non_us,n_unclear,n_unreviewed,n_not_applicable,n_us_upper,n_reviewed,annotation_coverage,resolved_geography_coverage,n_geography_conflicts,n_mixed_country_us_articles,article_ids,scope,count_interpretation,us_competition_rank,us_display_position,all_competition_rank
58998961600,Kwong J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85191168265,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7716,2190
58999489600,Jordão de Carvalho L.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85191200926,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7717,2190
59001698100,Hetzer L.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85191358272,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7718,2190
59003007300,Wu Y.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105033010775,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7719,2190
59008179600,Gonzalez-Fernandez P.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105000483869,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7720,2190
59013657800,Chaisrilak C.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85192090135,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7721,2190
59013887400,Sauer S.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85192105891,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7722,2190
59013929000,Wang L.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85192098619,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7723,2190
59034222200,Minciocchi Urban M.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85192142885,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7724,2190
59040028400,Lovell A.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105029969569,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7725,2190
59056422500,Coulombe M.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85102826050,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7726,2190
59056762700,Schmidt K.T.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105037620424,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7727,2190
59057237600,Yoshida T.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85162726025,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7728,2190
59066498100,Song M.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105045234097,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7729,2190
59090459200,Bartsch S.C.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105015145961,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7730,2190
59093820500,Li L.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85207560265,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7731,2190
59099876500,Prince A.E.R.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85136285837,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7732,2190
59107145900,Peng C.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85181248715,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7733,2190
59114100700,Nunes F.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85158816553,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7734,2190
59116871300,Jiang H.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105036437225,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7735,2190
59117601100,Schulman J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105004232313,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7736,2190
59124534000,Benthem M.S.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85192953389,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7737,2190
59125555500,Han J.Y.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85192966016,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7738,2190
59126504500,Tan Y.B.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105011346615,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7739,2190
59129297500,Kasperska A.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85193228190,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7740,2190
59136006400,Suntay O.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105043209202,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7741,2190
59147403300,Fliethmann A.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85194422612,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7742,2190
59148562800,Qiu X.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105004829175,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7743,2190
59149932400,Xiao D.,1,0,0,0,0,1,0,0,1,1,1.0,0.0,0,0,105024704854,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7744,2190
59151453600,Jeune N.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85194893401,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7745,2190
59151474600,Waldspurger G.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85194852415,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7746,2190
59151607000,Brusseel A.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105001650146,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7747,2190
59151620600,Zhang Y.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85194900151,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7748,2190
59151638100,Chiancone O.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85194852415,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7749,2190
59157643100,Van Allen E.M.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85052636854,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",458,7750,2190
