variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
narrower_query,6388,2652,55940105800,Ewoodzie K.,1,0,1,0,0,1,9283,84888327601,https://www.scopus.com/authid/detail.uri?authorId=55940105800,unvalidated_query_candidate_articles
narrower_query,6389,2652,55940486900,Newark D.A.,1,0,1,0,0,1,9283,85096924083,https://www.scopus.com/authid/detail.uri?authorId=55940486900,unvalidated_query_candidate_articles
narrower_query,6390,2652,55940706500,Oberle C.D.,1,0,1,0,0,1,9283,85204484942,https://www.scopus.com/authid/detail.uri?authorId=55940706500,unvalidated_query_candidate_articles
narrower_query,6391,2652,55940841100,Ademu L.O.,1,1,0,0,1,0,9283,85146803918,https://www.scopus.com/authid/detail.uri?authorId=55940841100,unvalidated_query_candidate_articles
narrower_query,6392,2652,55941154900,Okyere C.Y.,1,1,0,0,1,0,9283,85075008002,https://www.scopus.com/authid/detail.uri?authorId=55941154900,unvalidated_query_candidate_articles
narrower_query,6393,2652,55941405200,Juslin P.,1,0,1,0,0,1,9283,85052491854,https://www.scopus.com/authid/detail.uri?authorId=55941405200,unvalidated_query_candidate_articles
narrower_query,6394,2652,55941608600,Sánchez A.,1,0,1,0,0,1,9283,105034182293,https://www.scopus.com/authid/detail.uri?authorId=55941608600,unvalidated_query_candidate_articles
narrower_query,6395,2652,55945178000,Lazaric N.,1,1,0,0,1,0,9283,85115935078,https://www.scopus.com/authid/detail.uri?authorId=55945178000,unvalidated_query_candidate_articles
narrower_query,6396,2652,55945475100,Facciani M.,1,1,0,0,1,0,9283,85096619939,https://www.scopus.com/authid/detail.uri?authorId=55945475100,unvalidated_query_candidate_articles
narrower_query,6397,2652,55945540400,Carlos R.F.,1,1,0,0,1,0,9283,105042361625,https://www.scopus.com/authid/detail.uri?authorId=55945540400,unvalidated_query_candidate_articles
narrower_query,6398,2652,55948678700,Kazun A.,1,1,1,1,0,0,9283,105033706135,https://www.scopus.com/authid/detail.uri?authorId=55948678700,unvalidated_query_candidate_articles
narrower_query,6399,2652,55949079700,Cui J.,1,1,0,0,1,0,9283,85035044091,https://www.scopus.com/authid/detail.uri?authorId=55949079700,unvalidated_query_candidate_articles
narrower_query,6400,2652,55953333500,Kolstad I.,1,0,1,0,0,1,9283,105026897717,https://www.scopus.com/authid/detail.uri?authorId=55953333500,unvalidated_query_candidate_articles
narrower_query,6401,2652,55955322800,Hurley E.,1,1,0,0,1,0,9283,85024113306,https://www.scopus.com/authid/detail.uri?authorId=55955322800,unvalidated_query_candidate_articles
narrower_query,6402,2652,55957934600,Rosenberg A.,1,1,1,1,0,0,9283,85205699025,https://www.scopus.com/authid/detail.uri?authorId=55957934600,unvalidated_query_candidate_articles
narrower_query,6403,2652,55958596900,Westenberg P.M.,1,0,1,0,0,1,9283,85083631943,https://www.scopus.com/authid/detail.uri?authorId=55958596900,unvalidated_query_candidate_articles
narrower_query,6404,2652,55960581900,Kuang P.,1,1,0,0,1,0,9283,105021065918,https://www.scopus.com/authid/detail.uri?authorId=55960581900,unvalidated_query_candidate_articles
