authid,name,orcid,name_source_scopus_id
6507061681,Bosnyak D.,,85105453766
6507062428,Puranam P.,,85173054120
6507078540,Milhausen R.,,85065256275
6507081724,Jerit J.,0000-0002-7982-9959,85212790320
6507091201,Persuh M.,,84864249950
6507099680,Inzlicht M.,,84929055454
6507100917,Magenheim E.B.,0000-0002-2219-7065,85119409532
6507104295,Meinke S.R.,0000-0002-5354-7013,85209182554
6507129282,Meyer-Sahling J.H.,,85190479468
6507131911,Eppink F.V.,,84994037008
6507143434,Bloemraad I.,0000-0001-7167-2582,105005605769
6507148162,Cinner J.E.,,105037401011
6507151299,Austermann J.E.,0000-0002-6338-0069,105011302164
6507160469,Dwiyahreni A.A.,,105007002458
6507164896,Quercia N.,,85123307033
6507171636,Vallée-Tourangeau G.,,84930805371
6507172151,Nerini A.,,85140740474
6507175225,Urbach T.P.,,84862234183
6507182815,Polatsch D.,,85150751341
6507183547,Goedhuys M.,0000-0003-4222-2106,105029240991
6507196860,Cytrynbaum C.,,85123307033
6507200086,Shipworth D.,,85092060139
6507213300,Rumball K.M.,,105012935442
6507218210,Vranken L.,,85102151641
6507236920,Leiserowitz A.,,105029518936
6507245660,Kmec J.A.,0000-0002-5345-0553,105012630617
6507246484,Luna-Reyes L.F.,,85120815262
6507259939,Albornoz F.,,85206875956
6507262881,Isokoski P.,,85199998314
6507267802,Rettinger D.,,75649088099
6507270952,Jamil I.,,85121538764
6507290704,Stoebenau K.,,85062803942
6507303347,Spraakman G.,,84957945528
6507304363,Basedau M.,0000-0002-0409-2665,105040035709
6507306187,Torres-Ruiz F.J.,,86000634662
6507317611,Mundry R.,,85069940074
6507325950,Petzina R.,,105001107075
6507331707,Lanzkron S.,,85041003403
6507345413,Siebelink B.M.,,85083631943
6507347718,Gutheil C.,,84977090447
6507348904,Lothridge K.,,85171295847
6507358541,Rhodebeck L.,,84986617489
6507365939,Cabassa L.J.,,84882893419
6507366904,Kronberger N.,,85046125338
6507368077,Noordegraaf M.,,85085868733
6507375556,Christopher Cohrs J.,,85194087797
6507377602,Pastina M.,,84860418081
6507379819,Lagnado D.A.,,85081291207
6507399574,Mikels J.A.,0000-0002-2679-4393,85112125192
6507427139,Diep L.M.,,84961190121
6507446350,Kaplanoglou G.,,84925358862
6507454665,Huntjens R.J.C.,,85064149443
6507462031,Deckman M.,0000-0002-5725-8681,85128381919
6507470507,Irz X.,,85042211239
6507474146,Guisinger A.,,85198952844
6507482369,Ossokina I.V.,,85116051886
6507488952,Glovinsky I.,,105009876071
6507490068,Schleiter P.,0000-0002-1150-0954,85159817834
6507490629,Baguley T.,0000-0002-0477-2492,85132367551
6507496747,Langstieh B.,0000-0002-9232-6694,84941773973
6507498753,Van Eerten P.,,105012935442
6507519353,Scheiter K.,,85065960094
6507527295,Capezza N.M.,,85042405148
6507529361,Janyan A.,,85218185895
6507541203,Graeff P.,,85081260508
6507544050,Kahlbaugh P.,,85042227597
6507565235,Kinne B.J.,0000-0002-4488-6662,105029516576
6507567782,Ravarotto L.,,84856350658
6507568229,Morgan-Jones E.,,85132859647
6507576322,Siemer W.F.,,85180249412
6507596114,De Swert K.,,85048610997
6507599307,Faia E.,,85194423611
6507601724,Kessels U.,0000-0002-1764-9442,85164741684
6507614128,Setzler M.,0000-0002-6387-1466,85216620221
6507617105,Dupriez F.,,105025850938
6507634068,Braucher J.,,84870322491
6507635279,Curley B.,0000-0002-7095-5537,85105079678
6507639810,van der Klaauw W.,,85185602459
6507640807,Nicholson-Crotty J.,,85153350971
6507643209,Lavrakas P.J.,,105042563243
6507643766,Canevello A.,0000-0001-7723-5770,85137191359
6507659714,Castelhano M.S.,,84925710432
6507663585,Savadori L.,,85050639442
6507680992,Kray J.,,85058443394
6507697849,Kotzian P.,,85037607239
6507701077,Kimani E.N.,,85183747023
6507701240,Koenig-Archibugi M.,0000-0003-4637-9477,85131762118
6507704058,Citrin J.,,85053875657
6507704884,Jakobsson N.,,85001130097
6507705607,Souchay C.,,84878947726
6507706279,Loedel P.,,85013354766
6507717433,Rapanos V.T.,,84925358862
6507718046,Ssewamala F.M.,0000-0002-4849-5650,85070899643
6507728608,Schoebi D.,0000-0003-3991-2712,85125772832
6507729014,McKimmie B.M.,0000-0002-2750-6111,85041601239
6507755868,Abowitz D.A.,,75649102859
6507757344,Kirke A.B.,,105018398247
6507779856,Gummadi K.P.,,85075073807
6507782071,Bisconti T.L.,,85075456322
6507801935,Wolaver A.,0000-0002-0905-9397,85077077802
6507809976,Carpini M.X.D.,,80052246931
6507813524,Hammert W.C.,,105012935442
6507836740,Vervloed M.,,84855222670
6507838639,Parnes N.P.,,105012935442
6507847274,Burgoon B.,,105045370981
6507877246,Bruton S.V.,,85053244201
6507879590,Minbaeva D.,,85058987092
6507883275,Ballini C.,,84941973000
6507915718,Ridout T.N.,,84923924266
6507944680,Sabesan V.J.,,85150751341
6507951854,Brigman S.,,85095857107
6507956037,Segatti P.,0000-0003-1505-2519,85033703721
6507961505,Veling H.,,105019064673
6507962992,Honigfeld L.,,85028981241
6507965070,Jaušovec K.,,84890826344
6507971953,DeBell M.,0000-0002-1126-1586,85193706647
6507981039,Jannot A.S.,,84979781456
6507982433,Fennis B.M.,,105022694840
6507993459,Bellmore A.,,85074996965
6508006616,Dockry M.J.,,85104966575
6508026665,Gentzkow M.,,85150414412
6508039471,Goemans H.,,105026885708
