authid,name,n_articles,n_us_articles,n_us_explicit,n_us_inferred,n_non_us,n_unclear,n_unreviewed,n_not_applicable,n_us_upper,n_reviewed,annotation_coverage,resolved_geography_coverage,n_geography_conflicts,n_mixed_country_us_articles,article_ids,scope,count_interpretation,us_competition_rank,us_display_position,all_competition_rank
57192868552,Rathbun N.S.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85078720051,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7791,2652
57192870096,Hamel B.T.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105019384379,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7792,2652
57192871317,Cook N.J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85184484406,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7793,2652
57192889907,Abramson Y.,1,0,0,0,1,0,0,0,0,1,1.0,1.0,0,0,85186916282,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7794,2652
57192893689,Chadwick S.B.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85013670616,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7795,2652
57192925789,Birau M.M.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105004264301,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7796,2652
57192927104,Barthel M.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85118211436,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7797,2652
57192927420,Vinnell L.J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105033852578,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7798,2652
57192939244,Ötting S.K.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85053075271,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7799,2652
57192940101,Li G.,1,0,0,0,0,1,0,0,1,1,1.0,0.0,0,0,85041662076,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7800,2652
57192987958,Huang C.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85115638996,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7801,2652
57193007176,Ali K.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85088785005,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7802,2652
57193009828,McCain J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85071720850,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7803,2652
57193014048,Bernstein M.S.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85128374813,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7804,2652
57193017076,Gao J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105036437225,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7805,2652
57193029403,Chen D.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85081346517,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7806,2652
57193074069,Gardener J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85010604453,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7807,2652
57193080255,Pitas N.A.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105047170102,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7808,2652
57193081269,Simpson R.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85099284233,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7809,2652
57193083511,Turcsányi R.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105021544419,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7810,2652
57193092987,Knoth L.K.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85020071880,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7811,2652
57193098437,Johnson A.P.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85061202415,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7812,2652
57193112785,Young N.L.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85010918098,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7813,2652
57193153807,Wang C.L.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85205523999,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7814,2652
57193154100,Uhl C.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85021979578,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7815,2652
57193170830,Anglum J.C.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85130587100,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7816,2652
57193198021,Hunt L.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85214368640,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7817,2652
57193201381,Allen K.T.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85011589624,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7818,2652
57193209770,Greussing E.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85075015290,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7819,2652
57193209931,Yang P.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85011635927,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7820,2652
57193213959,Uchikoshi F.,1,0,0,0,1,0,0,0,0,1,1.0,1.0,0,0,105009206681,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7821,2652
57193228920,Ma H.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105002643492,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7822,2652
57193231596,Röhm A.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85107756891,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7823,2652
57193231928,Wang J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105039203915,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7824,2652
57193267938,Gutting R.S.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85112467187,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7825,2652
57193268322,Schneider J.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85061709857,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7826,2652
57193270976,Boumans D.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85194250987,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7827,2652
57193279870,Stewart M.A.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85058785173,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7828,2652
57193281350,Lee M.M.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85090886303,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7829,2652
57193307615,Lennon C.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85143858690,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7830,2652
57193309696,Kim I.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85065851957,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7831,2652
57193312543,Wang B.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85065851957,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7832,2652
57193319886,Cheng T.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105045687815,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7833,2652
57193325371,Favara M.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105034182293,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7834,2652
57193335045,Kim E.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85181507136,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7835,2652
57193338847,Diddi P.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85149640771,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7836,2652
57193339049,Hu B.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105005540599,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7837,2652
57193366780,Snead W.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105034811505,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7838,2652
57193385216,Zhu X.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,105027109177,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7839,2652
57193385500,Tipler K.,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0,0,85172877885,all_first_last_authors,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",520,7840,2652
