position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
2131,984,58544101300,Nyholt N.,2,1,1,2,0,,1.5,false,85186423223|85210273617,https://www.scopus.com/authid/detail.uri?authorId=58544101300,provisional_query_candidates
2132,984,58545393500,Blatte S.,2,0,2,0,0,,0.833333,false,85190134454|105027946256,https://www.scopus.com/authid/detail.uri?authorId=58545393500,provisional_query_candidates
2133,984,58558080400,Hurst R.,2,0,2,0,0,,0.666667,false,85031893188|85186188626,https://www.scopus.com/authid/detail.uri?authorId=58558080400,provisional_query_candidates
2134,984,58561067400,Wu X.,2,0,1,1,0,,0.666667,false,85197561961|105020979552,https://www.scopus.com/authid/detail.uri?authorId=58561067400,provisional_query_candidates
2135,984,58602435100,Tierney M.J.,2,0,0,2,0,,0.333333,false,85125585098|85177584257,https://www.scopus.com/authid/detail.uri?authorId=58602435100,provisional_query_candidates
2136,984,58630941600,Xia S.,2,0,1,2,0,,1.5,false,105020868821|105045528454,https://www.scopus.com/authid/detail.uri?authorId=58630941600,provisional_query_candidates
2137,984,58638126600,Wang Y.,2,0,2,0,0,,0.583333,false,85212484938|86000732457,https://www.scopus.com/authid/detail.uri?authorId=58638126600,provisional_query_candidates
2138,984,58644510300,Morell S.,2,0,2,1,0,,1.333333,true,85211137112|105044346241,https://www.scopus.com/authid/detail.uri?authorId=58644510300,provisional_query_candidates
2139,984,58650343800,Hohensinn L.,2,0,1,1,0,,0.533333,false,85174310394|85180287969,https://www.scopus.com/authid/detail.uri?authorId=58650343800,provisional_query_candidates
2140,984,58652558100,Pacilli M.G.,2,2,1,1,0,,0.366667,false,85052329124|85108453160,https://www.scopus.com/authid/detail.uri?authorId=58652558100,provisional_query_candidates
2141,984,58657553800,Kraemer F.,2,0,2,0,0,,0.309524,false,85174632118|105016864314,https://www.scopus.com/authid/detail.uri?authorId=58657553800,provisional_query_candidates
